"ID","item_name","value"
"VB023","CIP_CC01",4
"VB023","CIP_CC02",4
"VB023","CIP_CC03",5
"VB023","CIP_CC04",4
"VB023","CIP_CC05",3
"VB023","CIP_CC_score",20
"VB024","CIP_01_decision",6
"VB024","CIP_02",6
"VB024","CIP_CC01",4
"VB024","CIP_CC02",4
"VB024","CIP_CC03",3
"VB024","CIP_CC04",1
"VB024","CIP_CC05",3
"VB024","CIP_CC_score",15
"VB025","CIP_01_decision",5
"VB025","CIP_02",6
"VB025","CIP_CC01",3
"VB025","CIP_CC02",5
"VB025","CIP_CC03",5
"VB025","CIP_CC04",4
"VB025","CIP_CC05",5
"VB025","CIP_CC_score",22
"VB026","CIP_01_decision",5
"VB026","CIP_02",6
"VB026","CIP_CC01",1
"VB026","CIP_CC02",5
"VB026","CIP_CC03",5
"VB026","CIP_CC04",4
"VB026","CIP_CC05",4
"VB026","CIP_CC_score",19
"VB027","CIP_01_decision",3
"VB027","CIP_02",5
"VB027","CIP_CC01",4
"VB027","CIP_CC02",5
"VB027","CIP_CC03",5
"VB027","CIP_CC04",3
"VB027","CIP_CC05",4
"VB027","CIP_CC_score",21
"VB0555","CIP_01_decision",4
"VB0555","CIP_02",3
"VB0555","CIP_CC01",3
"VB0555","CIP_CC02",5
"VB0555","CIP_CC03",4
"VB0555","CIP_CC04",4
"VB0555","CIP_CC05",4
"VB0555","CIP_CC_score",20
"VB556","CIP_01_decision",5
"VB556","CIP_02",5
"VB556","CIP_CC01",3
"VB556","CIP_CC02",5
"VB556","CIP_CC03",4
"VB556","CIP_CC04",3
"VB556","CIP_CC05",3
"VB556","CIP_CC_score",18
"VB030","CIP_01_decision",4
"VB030","CIP_02",3
"VB030","CIP_CC01",3
"VB030","CIP_CC02",4
"VB030","CIP_CC03",3
"VB030","CIP_CC04",1
"VB030","CIP_CC05",5
"VB030","CIP_CC_score",16
"VB031","CIP_01_decision",6
"VB031","CIP_02",6
"VB031","CIP_CC01",3
"VB031","CIP_CC02",4
"VB031","CIP_CC03",4
"VB031","CIP_CC04",4
"VB031","CIP_CC05",4
"VB031","CIP_CC_score",19
"VB032","CIP_01_decision",3
"VB032","CIP_02",3
"VB032","CIP_CC01",1
"VB032","CIP_CC02",5
"VB032","CIP_CC03",3
"VB032","CIP_CC04",4
"VB032","CIP_CC05",5
"VB032","CIP_CC_score",18
"VB033","CIP_01_decision",5
"VB033","CIP_02",3
"VB033","CIP_CC01",2
"VB033","CIP_CC02",3
"VB033","CIP_CC03",3
"VB033","CIP_CC04",2
"VB033","CIP_CC05",3
"VB033","CIP_CC_score",13
"VB034","CIP_01_decision",5
"VB034","CIP_02",6
"VB034","CIP_CC01",2
"VB034","CIP_CC02",4
"VB034","CIP_CC03",1
"VB034","CIP_CC04",2
"VB034","CIP_CC05",3
"VB034","CIP_CC_score",12
"VB035","CIP_01_decision",5
"VB035","CIP_02",4
"VB035","CIP_CC01",3
"VB035","CIP_CC02",4
"VB035","CIP_CC03",1
"VB035","CIP_CC04",1
"VB035","CIP_CC05",3
"VB035","CIP_CC_score",12
"VB036","CIP_01_decision",5
"VB036","CIP_02",6
"VB036","CIP_CC01",1
"VB036","CIP_CC02",5
"VB036","CIP_CC03",5
"VB036","CIP_CC04",3
"VB036","CIP_CC05",4
"VB036","CIP_CC_score",18
"VB037","CIP_01_decision",2
"VB037","CIP_02",5
"VB037","CIP_CC01",2
"VB037","CIP_CC02",5
"VB037","CIP_CC03",4
"VB037","CIP_CC04",3
"VB037","CIP_CC05",4
"VB037","CIP_CC_score",18
"VB038","CIP_01_decision",1
"VB038","CIP_02",6
"VB038","CIP_CC01",4
"VB038","CIP_CC02",5
"VB038","CIP_CC03",4
"VB038","CIP_CC04",2
"VB038","CIP_CC05",5
"VB038","CIP_CC_score",20
"VB039","CIP_01_decision",1
"VB039","CIP_02",5
"VB039","CIP_CC01",2
"VB039","CIP_CC02",5
"VB039","CIP_CC03",3
"VB039","CIP_CC04",3
"VB039","CIP_CC05",4
"VB039","CIP_CC_score",17
"VB040","CIP_01_decision",6
"VB040","CIP_02",5
"VB040","CIP_CC01",3
"VB040","CIP_CC02",4
"VB040","CIP_CC03",4
"VB040","CIP_CC04",4
"VB040","CIP_CC05",4
"VB040","CIP_CC_score",19
"VB041","CIP_01_decision",4
"VB041","CIP_02",6
"VB041","CIP_CC01",5
"VB041","CIP_CC02",4
"VB041","CIP_CC03",5
"VB041","CIP_CC04",3
"VB041","CIP_CC05",5
"VB041","CIP_CC_score",22
"VB042","CIP_01_decision",2
"VB042","CIP_02",5
"VB042","CIP_CC01",4
"VB042","CIP_CC02",3
"VB042","CIP_CC03",2
"VB042","CIP_CC04",5
"VB042","CIP_CC05",5
"VB042","CIP_CC_score",19
"VB043","CIP_01_decision",3
"VB043","CIP_02",5
"VB043","CIP_CC01",4
"VB043","CIP_CC02",2
"VB043","CIP_CC03",3
"VB043","CIP_CC04",2
"VB043","CIP_CC05",3
"VB043","CIP_CC_score",14
"VB044","CIP_01_decision",3
"VB044","CIP_02",6
"VB044","CIP_CC01",1
"VB044","CIP_CC02",5
"VB044","CIP_CC03",4
"VB044","CIP_CC04",1
"VB044","CIP_CC05",1
"VB044","CIP_CC_score",12
"VB045","CIP_01_decision",6
"VB045","CIP_02",5
"VB045","CIP_CC01",3
"VB045","CIP_CC02",4
"VB045","CIP_CC03",2
"VB045","CIP_CC04",3
"VB045","CIP_CC05",4
"VB045","CIP_CC_score",16
"VB046","CIP_01_decision",6
"VB046","CIP_02",5
"VB046","CIP_CC01",4
"VB046","CIP_CC02",4
"VB046","CIP_CC03",4
"VB046","CIP_CC04",3
"VB046","CIP_CC05",4
"VB046","CIP_CC_score",19
"VB047","CIP_01_decision",3
"VB047","CIP_02",4
"VB047","CIP_CC01",4
"VB047","CIP_CC02",4
"VB047","CIP_CC03",4
"VB047","CIP_CC04",5
"VB047","CIP_CC05",4
"VB047","CIP_CC_score",21
"VB049","CIP_01_decision",5
"VB049","CIP_02",3
"VB049","CIP_CC01",3
"VB049","CIP_CC02",4
"VB049","CIP_CC03",5
"VB049","CIP_CC04",4
"VB049","CIP_CC05",4
"VB049","CIP_CC_score",20
"VB050","CIP_01_decision",1
"VB050","CIP_02",6
"VB050","CIP_CC01",4
"VB050","CIP_CC02",4
"VB050","CIP_CC03",5
"VB050","CIP_CC04",5
"VB050","CIP_CC05",5
"VB050","CIP_CC_score",23
"VB051","CIP_01_decision",1
"VB051","CIP_02",4
"VB051","CIP_CC01",3
"VB051","CIP_CC02",5
"VB051","CIP_CC03",5
"VB051","CIP_CC04",1
"VB051","CIP_CC05",4
"VB051","CIP_CC_score",18
"VB052","CIP_01_decision",1
"VB052","CIP_02",1
"VB052","CIP_CC01",5
"VB052","CIP_CC02",5
"VB052","CIP_CC03",4
"VB052","CIP_CC04",3
"VB052","CIP_CC05",1
"VB052","CIP_CC_score",18
"VB053","CIP_01_decision",2
"VB053","CIP_02",4
"VB053","CIP_CC01",2
"VB053","CIP_CC02",2
"VB053","CIP_CC03",1
"VB053","CIP_CC04",3
"VB053","CIP_CC05",5
"VB053","CIP_CC_score",13
"VB054","CIP_01_decision",5
"VB054","CIP_02",1
"VB054","CIP_CC01",4
"VB054","CIP_CC02",1
"VB054","CIP_CC03",1
"VB054","CIP_CC04",1
"VB054","CIP_CC05",5
"VB054","CIP_CC_score",12
"VB055","CIP_01_decision",2
"VB055","CIP_02",5
"VB055","CIP_CC01",3
"VB055","CIP_CC02",5
"VB055","CIP_CC03",4
"VB055","CIP_CC04",4
"VB055","CIP_CC05",3
"VB055","CIP_CC_score",19
"VB056","CIP_01_decision",5
"VB056","CIP_02",6
"VB056","CIP_CC01",1
"VB056","CIP_CC02",4
"VB056","CIP_CC03",5
"VB056","CIP_CC04",4
"VB056","CIP_CC05",4
"VB056","CIP_CC_score",18
"VB057","CIP_01_decision",1
"VB057","CIP_02",4
"VB057","CIP_CC01",4
"VB057","CIP_CC02",5
"VB057","CIP_CC03",3
"VB057","CIP_CC04",5
"VB057","CIP_CC05",5
"VB057","CIP_CC_score",22
"VB058","CIP_01_decision",5
"VB058","CIP_02",4
"VB058","CIP_CC01",5
"VB058","CIP_CC02",5
"VB058","CIP_CC03",2
"VB058","CIP_CC04",4
"VB058","CIP_CC05",4
"VB058","CIP_CC_score",20
"VB059","CIP_01_decision",6
"VB059","CIP_02",1
"VB059","CIP_CC01",1
"VB059","CIP_CC02",1
"VB059","CIP_CC03",1
"VB059","CIP_CC04",1
"VB059","CIP_CC05",2
"VB059","CIP_CC_score",6
"VB060","CIP_01_decision",2
"VB060","CIP_02",6
"VB060","CIP_CC01",4
"VB060","CIP_CC02",5
"VB060","CIP_CC03",5
"VB060","CIP_CC04",2
"VB060","CIP_CC05",4
"VB060","CIP_CC_score",20
